config_tag,sample_idx,video_id,qa_type,question,answer_options,prune_text,prune_gaze,prune_random,prune_alpha,prune_ratio,prune_layer,input_preprocessing_s,vision_encoder_s,decode_s,tokens_generated,decode_ms_per_token,correct_answer,predicted_answer,correct,cot_output,scene_description,llm_judge_score,llm_judge_reasoning,llm_coverage_scene,llm_coverage_relevance,llm_coverage_logic,llm_coverage_final,llm_coverage_breakdown,llm_pref_winner,llm_pref_reasoning
caption_no_prune,0,2bb31b69-fcda-4f54-8338-f590944df999,temporal,What did the viewer look at immediately after A lady X reshuffled the cards in Frame 9?,A: The cards on the floor|B: The couch|C: The plant in the corner|D: The television|E: The plastic bag,0,0,0,,,,0.3603,1.3163,8.5973,205,41.938,The camera wearer holds the cards The camera wearer reshuffles the cards The camera wearer plays the poker card Another person A lady X reshuffles the cards Another person A lady X plays the poker card Another person A lady X talks to C Another person A lady X touches the card Another person A lady X reshuffles the cards,"In the video, we see a person sitting on the floor with a pile of cards in front of them. The person is wearing a striped sweater and glasses. The camera is positioned from the person's perspective, capturing their actions. The person is shuffling the cards and then begins to deal them out on the floor. The cards are scattered around the floor, and the person continues to shuffle and deal cards. The scene takes place in a living room with a couch and a potted plant in the background. The person appears to be engaged in a card game or a similar activity. The overall atmosphere is casual and relaxed. The person's actions are deliberate and focused on the task at hand. The video captures the essence of a simple, everyday activity, highlighting the simplicity and enjoyment of playing cards. The person's movements are smooth and controlled, indicating a level of familiarity with the game. The video provides a glimpse into a moment of leisure and entertainment, showcasing the simple pleasures of playing a game with friends or family.",,,,,,,,,,,,
caption_random_r0.5,0,2bb31b69-fcda-4f54-8338-f590944df999,temporal,What did the viewer look at immediately after A lady X reshuffled the cards in Frame 9?,A: The cards on the floor|B: The couch|C: The plant in the corner|D: The television|E: The plastic bag,0,0,1,,0.5,10,0.3607,1.3172,8.6839,215,40.39,The camera wearer holds the cards The camera wearer reshuffles the cards The camera wearer plays the poker card Another person A lady X reshuffles the cards Another person A lady X plays the poker card Another person A lady X talks to C Another person A lady X touches the card Another person A lady X reshuffles the cards,"The video depicts a person sitting on the floor in a living room, playing a card game. The person is wearing a pink sweater and glasses, and they are holding a deck of cards in their hands. The cards are spread out on the floor in front of them. The person is also wearing a pair of socks, one of which is visible on their foot. The floor is covered with a patterned rug, and there is a plant in the background. The person is engaged in the game, shuffling the cards and dealing them out to the other person. The other person is also sitting on the floor, holding a deck of cards in their hands. They are also wearing a pair of socks, and they are engaged in the game, dealing cards to the other person. The game appears to be a simple card game, with each player dealing a hand of cards and then playing a series of cards to try to make a hand that is higher than the opponent's. The person on the left is dealing cards, and the person on the right is playing cards.",,,,,,,,,,,,
caption_random_r0.5,1,566ad4e5-1ce4-4679-9d19-ef63072c848c,spatial,Where is the phone I am currently using located relative to the table and other objects in the scene?,"A: The phone is on the table, directly in front of my current fixation, with a notebook to its left.|B: The phone is held in my hand, slightly below and to the left of my current fixation, with a plastic bag behind it on the table.|C: The phone is on the couch, to the right of my current fixation, with a pillow next to it.|D: The phone is on the floor, in front of the table, with no objects near it.|E: The phone is on the table, to the left of my current fixation, with a remote control next to it.",0,0,1,,0.5,10,0.3462,1.307,11.9609,298,40.137,The camera wearer converses to the colleagues Another person man Y walks in the house The camera wearer takes a phone The camera wearer uses the phone The camera wearer looks at woman T The camera wearer adjusts the camera Another person woman T puts a phone on the couch Another person woman T pulls a table,"The video depicts a person in a living room, interacting with a smartphone. The individual is seated on a couch, holding the phone in their hands. The phone screen is illuminated, displaying a white screen with a blue border. The person appears to be using the phone, possibly browsing or engaging with its features. The surrounding environment includes a coffee table with various items on it, including what looks like a box and some papers or documents. The room has a cozy atmosphere with a chair and a curtain visible in the background. The person's actions suggest they are focused on the phone, possibly checking messages, browsing the internet, or engaging in a video call. The overall scene conveys a casual, everyday moment in a home setting.   ---  **Step-by-Step Description:**  1. **Initial Position:** The person is seated on a couch, facing the coffee table. 2. **Action:** The person picks up the smartphone from the table. 3. **Interaction:** The person holds the phone in their hands, possibly to use it. 4. **Screen Display:** The phone screen is illuminated, displaying a white screen with a blue border. 5. **Action:** The person appears to be using the phone, possibly browsing or engaging with its features. 6. **Environment:** The surrounding environment includes a chair and a curtain in the background. 7. **Conclusion:** The person seems to be focused on the phone, indicating they are engaged in some activity related to the device.",,,,,,,,,,,,
caption_no_prune,1,566ad4e5-1ce4-4679-9d19-ef63072c848c,spatial,Where is the phone I am currently using located relative to the table and other objects in the scene?,"A: The phone is on the table, directly in front of my current fixation, with a notebook to its left.|B: The phone is held in my hand, slightly below and to the left of my current fixation, with a plastic bag behind it on the table.|C: The phone is on the couch, to the right of my current fixation, with a pillow next to it.|D: The phone is on the floor, in front of the table, with no objects near it.|E: The phone is on the table, to the left of my current fixation, with a remote control next to it.",0,0,0,,,,0.423,1.3186,12.5298,301,41.627,The camera wearer converses to the colleagues Another person man Y walks in the house The camera wearer takes a phone The camera wearer uses the phone The camera wearer looks at woman T The camera wearer adjusts the camera Another person woman T puts a phone on the couch Another person woman T pulls a table,"The video depicts a person in a living room, interacting with various objects and performing actions. The setting appears to be a casual, relaxed environment, possibly a living room or a lounge area. The person is holding a smartphone with both hands, displaying its screen. The screen shows a white background with a circular design in the center, which is likely a logo or a design element. The person's hands are in motion, possibly gesturing or pointing at the screen.  In the background, there are several objects and furniture visible. A dark-colored coffee table is prominently featured in the foreground, with a few items on it, including what appears to be a book or a small box. The coffee table is situated in front of a chair with a wooden frame and a cushioned seat. Behind the coffee table, there is a curtain, suggesting the presence of a window or door. The curtain is partially drawn, allowing some light to filter into the room.  Additionally, there is a person seated on a couch, partially visible in the frame. This individual is wearing a red and black checkered shirt and appears to be engaged in some activity, possibly reading or watching something on the smartphone. The couch is adorned with a red pillow and a patterned blanket, adding a touch of color and comfort to the scene.  The overall atmosphere of the video suggests a casual, everyday moment, with the person in the foreground interacting with their smartphone while the other person in the background appears to be engaged in a different activity.",,,,,,,,,,,,
caption_random_r0.5,2,2bb31b69-fcda-4f54-8338-f590944df999,spatial,"Where is the object that you focused on the most, and what is its relative position to the cards held by the lady X?","A: The paper with instructions is in front of me, slightly to the left of the cards held by the lady X.|B: The plastic bag is on the floor, to the right of the cards held by the lady X.|C: The paper with instructions is in front of me, directly below the cards held by the lady X.|D: The paper with instructions is in front of me, slightly to the right of the cards held by the lady X.|E: The paper with instructions is in front of me, to the left of the lady X's feet.",0,0,1,,0.5,10,0.4496,0.901,8.1174,202,40.185,Another person A lady X holds the cards The camera wearer reads the paper Another person A lady X holds the cards The camera wearer reads the paper Another person A lady X holds the cards The camera wearer talks with a lady X Another person A lady X places the cards on the table Another person A lady X holds the cards,"The video shows a person sitting on the floor, wearing a striped sweater and glasses. They are holding a deck of cards and are in the process of shuffling them. The person is also holding a piece of paper in their hands, which appears to be the instructions for a game. The person is focused on the task at hand, shuffling the cards and reading the instructions. The background includes a chair, a plant, and some other items on the floor. The person seems to be engaged in a game or activity involving the cards and the paper. The overall scene suggests a casual, indoor setting. The person's actions are deliberate and focused, indicating they are taking the time to ensure they understand the instructions before proceeding with the game. The video captures the moment of preparation and anticipation before the game begins. The person's attire and the setting suggest a relaxed, informal environment. The video does not show any other people or objects in the scene. The focus is solely on the person and their actions.",,,,,,,,,,,,
caption_no_prune,2,2bb31b69-fcda-4f54-8338-f590944df999,spatial,"Where is the object that you focused on the most, and what is its relative position to the cards held by the lady X?","A: The paper with instructions is in front of me, slightly to the left of the cards held by the lady X.|B: The plastic bag is on the floor, to the right of the cards held by the lady X.|C: The paper with instructions is in front of me, directly below the cards held by the lady X.|D: The paper with instructions is in front of me, slightly to the right of the cards held by the lady X.|E: The paper with instructions is in front of me, to the left of the lady X's feet.",0,0,0,,,,0.2873,1.1259,8.6378,206,41.931,Another person A lady X holds the cards The camera wearer reads the paper Another person A lady X holds the cards The camera wearer reads the paper Another person A lady X holds the cards The camera wearer talks with a lady X Another person A lady X places the cards on the table Another person A lady X holds the cards,"In the video, a person is sitting on the floor with a pile of cards in their hands. They are wearing a striped sweater and glasses. The person is holding a piece of paper in front of them, which appears to be the instructions for a game. The person is reading the instructions and then hands the paper to the camera person. The camera person is holding the paper in their hands and appears to be reading it as well. The background shows a living room with a couch, a plant, and some other items on the floor. The person continues to read the instructions while the camera person continues to hold the paper. The overall scene suggests a casual, interactive activity taking place in a home setting. The person appears to be engaged in the game or activity being described in the instructions. The video captures a moment of interaction between the two individuals, with the person reading the instructions and the camera person holding the paper. The setting is casual and relaxed, with a focus on the game or activity being described in the instructions.",,,,,,,,,,,,
caption_random_r0.5,3,566ad4e5-1ce4-4679-9d19-ef63072c848c,causal,"Why did I take the cards from the box while organizing them, given the observed changes in my attention?","A: I was preparing to shuffle the cards for a game, as my gaze shifted towards the box.|B: I was distracted by the cards on the table and decided to add more to the pile.|C: I was checking if any specific card was missing from the deck, as my gaze focused on the box.|D: I was trying to hide certain cards from the others, as my gaze moved away from the box.|E: I was preparing the cards for a trick, as my gaze lingered on the box.",0,0,1,,0.5,10,0.35,0.8788,13.1526,329,39.978,Another person man Y opens a sachet Another person woman T puts cards on the table The camera wearer takes the cards Another person woman T takes a paper Another person woman T puts a sachet on the table The camera wearer looks at man Y The camera wearer opens a box Another person woman T puts a card on the table,"The video shows a group of people in a living room, engaged in a card game. The setting appears to be a casual, relaxed environment, possibly a friend's home. The focus is on the hands of the individuals, who are actively participating in the game.  1. **Initial Scene**: The person in the center is seated on a couch, holding a deck of cards. The cards are spread out on the table in front of them, and there are some cards already on the table.  2. **Action**: The person in the center picks up a card from the table and places it on the table in front of them. This action is followed by the person on the right picking up a card and placing it on the table.  3. **Continued Action**: The person in the center picks up another card and places it on the table, followed by the person on the right picking up another card.  4. **Observation**: The person in the center picks up a card and places it on the table, and the person on the right picks up another card. This pattern continues, with each person picking up a card and placing it on the table.  5. **Final Scene**: The person in the center picks up a card and places it on the table, and the person on the right picks up another card. This sequence is repeated, with each person picking up a card and placing it on the table.  Throughout the video, the individuals are focused on the game, with their hands moving quickly to pick up and place cards on the table. The environment is casual, and the participants seem to be enjoying the game.",,,,,,,,,,,,
caption_no_prune,3,566ad4e5-1ce4-4679-9d19-ef63072c848c,causal,"Why did I take the cards from the box while organizing them, given the observed changes in my attention?","A: I was preparing to shuffle the cards for a game, as my gaze shifted towards the box.|B: I was distracted by the cards on the table and decided to add more to the pile.|C: I was checking if any specific card was missing from the deck, as my gaze focused on the box.|D: I was trying to hide certain cards from the others, as my gaze moved away from the box.|E: I was preparing the cards for a trick, as my gaze lingered on the box.",0,0,0,,,,0.2788,0.9365,13.0121,316,41.178,Another person man Y opens a sachet Another person woman T puts cards on the table The camera wearer takes the cards Another person woman T takes a paper Another person woman T puts a sachet on the table The camera wearer looks at man Y The camera wearer opens a box Another person woman T puts a card on the table,"The video shows a group of people in a living room, engaged in a card game. The setting includes a coffee table with a few cards and a deck of cards spread out. The individuals are dressed casually, and the room has a relaxed atmosphere.  1. **Initial Scene**: The person in the center of the room is seated on a couch, holding a deck of cards in their hands. They appear to be preparing to deal or shuffle the cards.  2. **Action**: The person on the left side of the frame reaches out to the table, picking up a card and placing it on the table. The person on the right side of the frame reaches out to the table as well, picking up a card and placing it on the table.  3. **Card Distribution**: The person on the left picks up a card from the table and places it on the table, followed by the person on the right doing the same. This creates a pattern of cards being picked up and placed back on the table.  4. **Card Distribution Continues**: The pattern continues, with each person picking up a card and placing it on the table. The cards are spread out in a somewhat random manner.  5. **Observation**: The individuals are focused on their task, and their actions are deliberate, indicating a game or a casual gathering where card games are being played.  6. **Conclusion**: The video captures the process of card distribution in a relaxed setting, with each person contributing to the ongoing game. The environment is informal, and the individuals seem to be enjoying the activity.",,,,,,,,,,,,
caption_random_r0.5,4,dafc891e-05f0-4734-88c6-1f818ac67a23,spatial,Where is the jigsaw piece that you focused on in Frame 9 located relative to the other pieces and your gaze direction?,"A: The jigsaw piece is near the bottom right corner of the table, slightly below and to the right of where you were looking.|B: The jigsaw piece is in the center of the table, directly under your gaze.|C: The jigsaw piece is near the top left corner of the table, above and to the left of where you were looking.|D: The jigsaw piece is near the middle of the table, slightly to the left of your gaze direction.|E: The jigsaw piece is near the bottom right corner of the table, to the right of the box and aligned with your gaze direction.",0,0,1,,0.5,10,0.4573,0.781,8.4259,209,40.316,The camera wearer drops a jigsaw piece in the second bowl The camera wearer picks jigsaw pieces from the table The camera wearer drops the pieces in the first box on the table The camera wearer picks pieces from the table The camera wearer drops one piece on the table The camera wearer picks dirt from the table #unsure The camera wearer throws the dirt on the floor #unsure The camera wearer picks jigsaw pieces from the table,"The person in the video is engaged in the process of assembling a puzzle. They are seen working on a table that has a variety of puzzle pieces scattered around. The person's hands are actively engaged in picking up and placing pieces into a container. The container is positioned on the table, and the person is using their hands to sort and organize the puzzle pieces. The table also has a tray with more puzzle pieces, indicating that the person is likely in the middle of a puzzle-solving session. The overall scene suggests a focused and methodical approach to puzzle assembly. The person's actions are deliberate and purposeful, indicating a level of concentration and attention to detail. The environment appears to be a kitchen or a similar setting, as suggested by the presence of a sink and other kitchen items in the background. The person's hands are visible, and they are wearing a watch, which adds a personal touch to the scene. The video captures the essence of a quiet, focused activity, where the person is immersed in the task of assembling the puzzle.",,,,,,,,,,,,
caption_no_prune,4,dafc891e-05f0-4734-88c6-1f818ac67a23,spatial,Where is the jigsaw piece that you focused on in Frame 9 located relative to the other pieces and your gaze direction?,"A: The jigsaw piece is near the bottom right corner of the table, slightly below and to the right of where you were looking.|B: The jigsaw piece is in the center of the table, directly under your gaze.|C: The jigsaw piece is near the top left corner of the table, above and to the left of where you were looking.|D: The jigsaw piece is near the middle of the table, slightly to the left of your gaze direction.|E: The jigsaw piece is near the bottom right corner of the table, to the right of the box and aligned with your gaze direction.",0,0,0,,,,0.2874,0.9972,8.8555,211,41.969,The camera wearer drops a jigsaw piece in the second bowl The camera wearer picks jigsaw pieces from the table The camera wearer drops the pieces in the first box on the table The camera wearer picks pieces from the table The camera wearer drops one piece on the table The camera wearer picks dirt from the table #unsure The camera wearer throws the dirt on the floor #unsure The camera wearer picks jigsaw pieces from the table,"The person in the video is engaged in the process of assembling a puzzle. They are seen working on a table covered with a puzzle mat. The person's hands are actively involved in the puzzle-solving process, with one hand holding a puzzle piece and the other hand placing it into a black container. The container is positioned on the table, and the puzzle pieces are scattered around it. The person's other hand is visible, and it appears to be holding a puzzle piece, possibly to be placed in the container. The overall scene suggests a focused and methodical approach to completing the puzzle. The background includes a kitchen setting with various items, including a sink and a microwave, indicating that the activity is taking place in a home environment. The person's actions are deliberate and focused, indicating a sense of concentration and enjoyment in the activity. The video captures the simplicity and satisfaction of puzzle-solving, highlighting the process of putting together a puzzle piece by piece. The person's hands are the main focus, emphasizing the manual and tactile aspect of the puzzle-solving process.",,,,,,,,,,,,
